Node, x_pos, y_pos, target_x, target_y
12, -5.51054, 23.6984, 5, 15
13, -34.5965, -21.0532, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25.1729, -20.0143, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, -9.87789, -27.5543, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -38.6941, 9.77629, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 0.656158, -25.8596, 5, -15
11, 35.3538, 6.14975, 35, 5
12, -3.96975, 22.4232, 5, 15
13, -34.7295, -19.0576, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25.104, -18.0154, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, -8.8685, -25.8277, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -38.209, 7.83601, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 1.39894, -24.0027, 5, -15
11, 35, 5, 35, 5
12, -2.42896, 21.1481, 5, 15
13, -34.8625, -17.062, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25.0351, -16.0166, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, -7.8591, -24.1011, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -37.7239, 5.89572, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 2.14172, -22.1457, 5, -15
11, 35, 5, 35, 5
12, -0.88817, 19.873, 5, 15
13, -34.9956, -15.0664, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, -6.84971, -22.3745, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -37.2389, 3.95544, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 2.8845, -20.2887, 5, -15
11, 35, 5, 35, 5
12, 0.652618, 18.5978, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
